Tournament,Club,Player,Number,Date,Market_value,Nation,Pos,Position,Age,Min,Goals_scored,Assists,Penalty_Kick_Made,Penalty_Kick_Attempted,Shots_total_not_penalty,Shots_on_target,Yellow_cards,Red_cards,Touches,Tackles,Interceptions,Performance_Blocks,Expected_goals,Expected_non_penalty,Expected_assist_goals,Shot_create_actions,Goal_create_actions,Passes_completed,Passes_attempted,Passes_completion%,Passes_progressive,Passes_successed,Dribbles_attempted,Tackles.1,Tackles_won,Tackles_defensive_1/3,Tackles_middle_1/3,Tackles_attack_1/3,Dribblers_tackeled,Dribblers_challenged,Dribblers_tackeled%,Dribblers_unsucessful,Blocks,Blocks_shots,Blocks_pass,Block_interceptions,Tackled+Interception,Clearances,Errors_lead_opponent_shot,Touches_defensive_pen_area,Touches_defensive_1/3,Touches_middle_1/3,Touches_attack_1/3,Touches_attack_pen_area,Touches_Live,Dribbles_Success,Dribbles_Success%,Dribbles_Miscontrol,Dribbles_Dispossessed,Passes_received,Progressive_passes_received,Passing_distance_total,Progressive_passing_distance,Short_passes_completed,Short_passes_attempted,Short_passes_completion%,Medium_passes_completed,Medium_passes_attempted,Medium_passes_completion%,Long_passes_completed,Long_passes_attempted,Long_passes_completion%,Expected_assists,Passes_lead_shot,Passes_into_1/3,Passes_into_pen_area,Crosses_into_pen_area,Passes_live_ball,Passes_dead_ball,Passes_from_freekicks,Passes_through_balls,Passes_Switches,Passes_crosses,Passes_throw-Ins_taken,Corner_kicks,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Straight,Passes_offside,Passes_blocked
Laliga,Ca Osasuna,Nano,23.0,2018-05-30,50000,es ESP,FW,Forward,25,28.8,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.0,9.5,0.7,0.0,0.4,0.1,0.1,0.0,0.6,0.0,3.7,6.2,55.67999999999999,0.5,0.2,0.5,0.7,0.6,0.2,0.4,0.1,0.1,0.1,10.0,0.0,0.4,0.0,0.4,0.0,0.7,0.0,0.0,0.1,1.0,3.7,4.8,1.7,9.5,0.2,20.0,0.8,0.6,5.9,2.1,57.8,12.1,1.7,2.7,51.0,1.6,2.1,59.67,0.2,0.3,20.0,0.0,0.1,0.1,0.2,0.0,5.6,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5
Laliga,Rcd Mallorca,Alejandro Alfaro,32.0,2019-09-10,300000,es ESP,CM,Midfielder,20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Bayer 04 Leverkusen,Paulinho,15.0,2022-11-09,7000000,br BRA,LM,Midfielder,29,57.20588235294117,0.2647058823529412,0.0588235294117647,0.0,0.0,1.3235294117647058,0.6470588235294118,0.0588235294117647,0.0,42.588235294117645,1.1470588235294117,0.4411764705882353,0.7352941176470589,0.2941176470588235,0.2941176470588235,0.0823529411764706,1.1176470588235294,0.2058823529411764,31.58823529411765,36.20588235294117,84.37058823529412,1.8529411764705883,0.7352941176470589,1.2647058823529411,0.7582417582417582,0.5274725274725275,0.3076923076923077,0.3406593406593406,0.1098901098901098,0.2857142857142857,0.7582417582417582,18.03956043956044,0.4725274725274725,0.5274725274725275,0.0549450549450549,0.4725274725274725,0.2637362637362637,1.021978021978022,0.2747252747252747,0.0219780219780219,0.4285714285714285,3.3956043956043955,14.956043956043956,9.626373626373626,1.8571428571428568,27.54945054945055,0.8351648351648352,39.30439560439561,1.043956043956044,0.6703296703296703,21.747252747252748,2.56043956043956,437.2352941176471,99.0,18.08823529411765,19.97058823529412,89.43823529411765,9.529411764705882,10.764705882352942,82.81176470588237,1.3823529411764706,1.7058823529411764,65.98235294117647,0.0411764705882353,0.3823529411764705,2.323529411764706,0.2647058823529412,0.0,35.55882352941177,0.5,0.4117647058823529,0.0588235294117647,0.0588235294117647,0.088235294117647,0.088235294117647,0.0,0.0,0.0,0.0,0.1470588235294117,0.5
Premier League,Fc Liverpool,Fabinho,3.0,2022-11-03,55000000,br BRA,CM,Midfielder,28,79.96319018404908,0.0920245398773006,0.0552147239263803,0.0368098159509202,0.0368098159509202,0.5153374233128835,0.1411042944785276,0.2147239263803681,0.0,67.1840490797546,2.245398773006135,1.2392638036809815,1.1104294478527608,0.0699386503067484,0.0411042944785276,0.0595092024539877,1.7852760736196318,0.2453987730061349,51.44171779141104,59.061349693251536,85.05889570552148,3.7607361963190185,0.4601226993865031,0.6625766871165644,2.245398773006135,1.2147239263803682,0.754601226993865,1.2576687116564418,0.2331288343558282,0.9693251533742332,2.361963190184049,35.22147239263804,1.392638036809816,1.1104294478527608,0.2699386503067484,0.8404907975460123,1.2392638036809815,3.4846625766871164,1.312883435582822,0.0306748466257668,2.441717791411043,14.773006134969323,44.23926380368098,8.668711656441717,0.6196319018404908,67.14723926380368,0.4601226993865031,29.32515337423313,0.6134969325153374,0.4171779141104294,46.88343558282209,0.9202453987730062,889.4606060606061,246.9333333333333,22.66060606060606,24.98181818181818,87.88060606060606,22.86060606060606,25.27878787878788,88.68424242424243,4.563636363636364,6.430303030303031,65.6387878787879,0.0478787878787878,0.5878787878787879,4.509090909090909,0.5878787878787879,0.0484848484848484,57.809815950920246,1.1533742331288344,1.0,0.1226993865030674,0.2883435582822086,0.2392638036809816,0.147239263803681,0.0,0.0,0.0,0.0,0.0981595092024539,0.4723926380368098
Serie A,Chievo Verona,Mamadou Samassa,30.0,2020-02-11,100000,ml MLI,GK,Goal Keeper,27,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,35.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,17.285714285714285,31.61904761904762,55.647619047619045,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.1428571428571428,28.714285714285715,34.857142857142854,0.3809523809523809,0.0,0.0,35.23809523809524,0.0,0.0,0.1428571428571428,0.0,8.80952380952381,0.0,622.3333333333334,493.2380952380952,0.8095238095238095,0.8095238095238095,57.142857142857146,7.047619047619048,7.142857142857143,94.37142857142857,9.285714285714286,23.285714285714285,42.03809523809524,0.0,0.0476190476190476,0.3333333333333333,0.0,0.0,17.333333333333332,14.047619047619047,5.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238095238,0.0
Serie A,Genua Cfc,Lisandro López,2.0,2022-10-31,1800000,ar ARG,CB,Defender,28,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,92.9,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,17.0,17.0,0.0,0.0,34.0,1.0,100.0,1.0,0.0,20.0,0.0,421.0,118.0,12.0,12.0,100.0,12.0,13.0,92.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premier League,Manchester City,Rodri,16.0,2022-11-03,80000000,es ESP,CM,Midfielder,26,81.73118279569893,0.086021505376344,0.064516129032258,0.0053763440860215,0.0053763440860215,0.9623655913978496,0.2741935483870967,0.1774193548387097,0.0,83.24731182795699,2.295698924731183,1.0591397849462365,0.9247311827956988,0.0612903225806451,0.0569892473118279,0.0478494623655913,2.193548387096774,0.2043010752688172,68.09139784946237,74.73118279569893,90.23870967741937,4.532258064516129,0.6559139784946236,0.8118279569892473,2.295698924731183,1.4623655913978495,0.9193548387096774,1.1559139784946235,0.2204301075268817,0.9032258064516128,1.9731182795698925,37.25430107526882,1.0698924731182795,0.9247311827956988,0.3064516129032258,0.6182795698924731,1.0591397849462365,3.3548387096774195,1.6989247311827955,0.021505376344086,3.134408602150537,18.21505376344086,52.62903225806452,13.080645161290322,1.1290322580645162,83.24193548387096,0.6559139784946236,40.9505376344086,0.6236559139784946,0.6935483870967742,61.354838709677416,0.7849462365591398,1212.284946236559,310.8709677419355,29.76344086021505,31.85483870967742,92.83494623655912,29.344086021505376,31.462365591397848,91.9225806451613,7.473118279569892,8.881720430107526,82.52849462365592,0.0516129032258064,0.7688172043010753,6.290322580645161,0.543010752688172,0.0376344086021505,73.39247311827957,1.2526881720430108,1.1666666666666667,0.064516129032258,0.6720430107526881,0.2150537634408602,0.064516129032258,0.0053763440860215,0.0,0.0,0.0,0.086021505376344,0.4677419354838709
Premier League,Afc Bournemouth,Adam Smith,15.0,2022-11-03,1500000,eng ENG,WB,Defender,31,82.38461538461539,0.0219780219780219,0.0659340659340659,0.0,0.0,0.2967032967032967,0.0659340659340659,0.2417582417582417,0.0109890109890109,52.494505494505496,1.89010989010989,1.0879120879120878,1.2967032967032968,0.0252747252747252,0.0252747252747252,0.0373626373626373,1.5494505494505495,0.1318681318681318,33.65934065934066,42.16483516483517,78.32967032967032,2.274725274725274,0.8351648351648352,1.7142857142857142,1.89010989010989,1.2857142857142858,1.1538461538461535,0.6043956043956044,0.1318681318681318,0.9230769230769232,1.934065934065934,39.57912087912088,1.010989010989011,1.2967032967032968,0.3076923076923077,0.989010989010989,1.0879120879120878,2.978021978021978,2.67032967032967,0.0219780219780219,2.769230769230769,16.824175824175825,23.75824175824176,12.747252747252746,1.021978021978022,52.494505494505496,0.8351648351648352,37.98571428571428,1.021978021978022,0.4725274725274725,28.791208791208792,1.6483516483516485,510.5434782608696,185.58695652173915,19.42391304347826,21.67391304347826,88.9608695652174,11.456521739130435,14.206521739130435,78.94782608695651,1.9782608695652173,4.108695652173913,42.19891304347826,0.0315217391304347,0.5543478260869565,2.532608695652174,0.5543478260869565,0.2282608695652173,34.285714285714285,7.824175824175824,0.8241758241758241,0.0109890109890109,0.1208791208791208,1.120879120879121,6.857142857142857,0.1428571428571428,0.0219780219780219,0.0,0.0,0.0549450549450549,1.0769230769230769
Premier League,Manchester City,Fernandinho,25.0,2022-11-14,1000000,br BRA,DM,Midfielder,36,73.73684210526316,0.0601503759398496,0.075187969924812,0.0,0.0,0.9473684210526316,0.2556390977443609,0.2105263157894736,0.0150375939849624,76.80451127819549,1.6616541353383458,1.0827067669172932,0.849624060150376,0.0518796992481203,0.0518796992481203,0.0609022556390977,1.7894736842105263,0.2706766917293233,61.11278195488722,69.03007518796993,87.70451127819548,5.3007518796992485,0.5488721804511278,0.6616541353383458,1.6616541353383458,1.0526315789473684,0.6616541353383458,0.7368421052631579,0.2631578947368421,0.8120300751879699,1.7293233082706767,33.08195488721804,0.9172932330827068,0.849624060150376,0.225563909774436,0.6240601503759399,1.0827067669172932,2.744360902255639,1.8796992481203008,0.0225563909774436,3.330827067669173,16.721804511278197,50.43609022556391,10.165413533834586,0.8947368421052632,76.80451127819549,0.5488721804511278,34.962406015037594,0.6541353383458647,0.3759398496240601,58.70676691729323,0.5939849624060151,1035.406015037594,330.56390977443607,27.654135338345863,29.639097744360903,91.0857142857143,27.0,29.669172932330827,88.64887218045112,4.593984962406015,6.383458646616542,64.07293233082707,0.0827067669172932,0.556390977443609,7.323308270676692,0.8345864661654135,0.0150375939849624,67.42105263157895,1.406015037593985,1.1729323308270676,0.2857142857142857,0.4812030075187969,0.18796992481203,0.225563909774436,0.0075187969924812,0.0,0.0,0.0,0.2030075187969924,0.6015037593984962
Premier League,Manchester City,Ederson,31.0,2022-11-03,45000000,br BRA,GK,Goal Keeper,28,89.36224489795919,0.0,0.0153061224489795,0.0,0.0,0.0,0.0,0.0561224489795918,0.0051020408163265,32.54081632653061,0.0612244897959183,0.0204081632653061,0.0051020408163265,0.0,0.0,0.0035714285714285,0.1275510204081632,0.0255102040816326,26.87244897959184,30.948979591836736,87.83163265306122,0.0357142857142857,0.010204081632653,0.010204081632653,0.0612244897959183,0.0408163265306122,0.0561224489795918,0.0051020408163265,0.0,0.0459183673469387,0.0765306122448979,4.336734693877551,0.0306122448979591,0.0051020408163265,0.0,0.0051020408163265,0.0204081632653061,0.0816326530612244,0.3673469387755102,0.096938775510204,26.08673469387756,32.20918367346939,0.3571428571428571,0.0,0.0,32.54081632653061,0.010204081632653,1.020408163265306,0.0357142857142857,0.0051020408163265,18.56122448979592,0.0,631.9030612244898,417.1275510204082,6.362244897959184,6.387755102040816,99.12244897959184,14.535714285714286,14.724489795918368,98.84948979591836,5.88265306122449,9.64795918367347,63.36836734693878,0.0035714285714285,0.0357142857142857,0.2397959183673469,0.0153061224489795,0.0,25.12244897959184,5.75,1.4438775510204085,0.0255102040816326,0.1275510204081632,0.0,0.010204081632653,0.0,0.0,0.0,0.0,0.0765306122448979,0.0204081632653061
