Tournament,Player,Nation,Age,Min,Market_value,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Serie A,Mamadou Samassa,ml MLI,27,90.0,100000,4.809523809523809,1.4761904761904763,3.3333333333333335,70.1047619047619,1.3666666666666667,6.190476190476191,19.714285714285715,33.166666666666664,22.61904761904762,4.714285714285714,51.32857142857142,41.114285714285714,8.761904761904763,90.31904761904761,58.36190476190477,17.38095238095238,1.0,4.961904761904762,1.0,12.542857142857144
Premier League,Ederson,br BRA,28,89.36224489795919,45000000,2.454258675078864,0.7634069400630915,1.7003154574132493,63.55173501577288,0.7659305993690851,2.444794952681388,5.801261829652997,43.920820189274444,26.58044164037855,4.662460567823344,15.813564668769718,26.33880126182966,4.1545741324921135,29.37539432176656,33.04984227129337,7.605678233438486,0.47634069400630913,6.674132492113564,1.5678233438485805,16.546056782334386
Laliga,Juan Carlos,es ESP,34,47.64,300000,4.3,1.8,2.5,64.52000000000001,1.67,2.3,6.4,39.57,27.8,5.1,17.4,28.540000000000003,6.2,22.169999999999998,29.96,12.0,0.6,5.880000000000001,2.1,17.220000000000002
Ligue 1,Landry Bonnefoi,fr FRA,34,68.0,100000,4.25,1.5,2.75,48.35,1.2,4.25,10.5,29.424999999999997,11.25,3.0,42.475,34.775,7.0,56.0,43.775,13.25,0.25,1.475,0.0,6.975
Serie A,Albano Bizzarri,ar ARG,39,89.96875,200000,4.46875,1.625,2.875,63.353125,1.40625,7.90625,18.0,43.659375,24.71875,4.40625,46.68125,38.321875,9.375,70.14375,48.23125,16.40625,0.78125,4.8625,0.9375,13.146875
Serie A,Christian Puggioni,it ITA,36,86.34782608695652,50000,5.130434782608695,1.6521739130434783,3.4782608695652173,65.41304347826087,1.791304347826087,5.913043478260869,14.0,41.44782608695652,25.782608695652176,6.3478260869565215,33.20434782608695,31.852173913043476,8.608695652173912,56.03043478260869,42.608695652173914,15.391304347826088,1.2173913043478262,7.165217391304348,1.565217391304348,14.939130434782612
Serie A,Luca Crosta,it ITA,19,90.0,100000,3.0,3.0,0.0,33.3,2.5,2.0,10.0,20.0,12.0,3.0,25.0,30.8,10.0,70.0,48.3,18.0,0.0,0.0,0.0,8.8
Serie A,Gabriele Marchegiani,it ITA,21,1.0,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ligue 1,Rémy Vercoutre,fr FRA,37,88.61764705882354,250000,3.823529411764706,1.3823529411764706,2.5588235294117645,67.37352941176471,1.1617647058823533,9.764705882352942,21.647058823529413,45.658823529411755,23.0,2.823529411764706,64.60000000000001,44.71764705882352,7.352941176470588,86.68529411764706,54.88235294117647,13.647058823529411,0.38235294117647056,2.7558823529411764,0.38235294117647056,11.820588235294117
Ligue 1,Raïs M'Bolhi,dz ALG,31,90.0,250000,6.0,3.0,3.0,83.3,2.3,3.0,14.0,21.4,20.0,2.0,55.0,44.0,4.0,75.0,57.0,9.0,0.0,0.0,0.0,12.0
