Date,Player ID,Club ID,Market_value,Tournament ID,Player,Club,Tournament
2022-11-08,39049,1123,150000,GB1,Kei Kamara,Norwich City,Premier League
2022-10-27,46154,1123,300000,GB1,Chris Martin,Norwich City,Premier League
2019-06-28,104725,1123,250000,GB1,Steve Morison,Norwich City,Premier League
2020-04-08,30471,1123,400000,GB1,James Vaughan,Norwich City,Premier League
2022-05-31,192366,1032,250000,GB1,Gozie Ugwu,Fc Reading,Premier League
2017-10-24,12628,1032,150000,GB1,Noel Hunt,Fc Reading,Premier League
2022-07-29,69653,1032,200000,GB1,Garath McCleary,Fc Reading,Premier League
2021-05-29,67369,1032,300000,GB1,Nick Blackman,Fc Reading,Premier League
2022-05-06,46106,1032,500000,GB1,Adam Le Fondre,Fc Reading,Premier League
2021-10-16,16716,1032,100000,GB1,Danny Guthrie,Fc Reading,Premier League
2021-04-06,61559,1032,300000,GB1,Hope Akpan,Fc Reading,Premier League
2020-04-08,40614,1032,300000,GB1,Shaun Cummings,Fc Reading,Premier League
2017-02-27,12125,1032,350000,GB1,Stephen Kelly,Fc Reading,Premier League
2022-11-14,43853,1032,300000,GB1,Chris Gunter,Fc Reading,Premier League
2022-07-29,158816,1032,500000,GB1,Jordan Obita,Fc Reading,Premier League
2017-07-30,81876,1032,300000,GB1,Joseph Mills,Fc Reading,Premier League
2022-05-13,47768,1032,250000,GB1,Alex Pearce,Fc Reading,Premier League
2022-05-13,80435,1123,800000,GB1,Korey Smith,Norwich City,Premier League
2017-04-21,130755,1123,150000,GB1,George Francomb,Norwich City,Premier League
2017-04-21,33484,1123,250000,GB1,Leon Barnett,Norwich City,Premier League
2022-12-12,136308,38,175000,L1,Gerrit Wegkamp,Fortuna Dusseldorf,Bundesliga
2021-06-23,24232,38,50000,L1,Ronny Garbuschewski,Fortuna Dusseldorf,Bundesliga
2018-06-19,6457,38,100000,L1,Axel Bellinghausen,Fortuna Dusseldorf,Bundesliga
2022-12-12,103577,38,75000,L1,Bastian Müller,Fortuna Dusseldorf,Bundesliga
2022-12-09,85611,38,150000,L1,Mathis Bolly,Fortuna Dusseldorf,Bundesliga
2019-03-02,34783,38,350000,L1,Ken Ilsö,Fortuna Dusseldorf,Bundesliga
2020-01-21,8640,38,25000,L1,Andreas Lambertz,Fortuna Dusseldorf,Bundesliga
2022-06-28,79643,38,450000,L1,Genki Omae,Fortuna Dusseldorf,Bundesliga
2022-06-23,69395,38,25000,L1,Evans Nyarko,Fortuna Dusseldorf,Bundesliga
2022-06-13,146587,38,75000,L1,Tugrul Erat,Fortuna Dusseldorf,Bundesliga
2018-02-03,992,38,50000,L1,Christian Weber,Fortuna Dusseldorf,Bundesliga
2017-06-10,21060,38,250000,L1,Martin Latka,Fortuna Dusseldorf,Bundesliga
2022-05-27,72203,38,150000,L1,Juanan,Fortuna Dusseldorf,Bundesliga
2022-10-01,104545,38,50000,L1,Bruno Soares,Fortuna Dusseldorf,Bundesliga
2022-12-29,255570,366,150000,ES1,Iván Casado,Real Valladolid,Laliga
2019-06-27,57545,1421,300000,FR1,Johann Ramaré,Stade Reims,Ligue 1
2020-04-08,65177,1421,325000,FR1,Khalid Sekkat,Stade Reims,Ligue 1
2018-06-25,197490,1025,50000,IT1,Riccardo Benatti,Fc Bologna,Serie A
2022-08-05,112962,1025,150000,IT1,Roger Carvalho,Fc Bologna,Serie A
2022-06-28,240374,1025,100000,IT1,Lorenzo Dall'Osso,Fc Bologna,Serie A
2022-12-20,92870,416,300000,IT1,Emanuele Gatto,Fc Turin,Serie A
