Player,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Alexander Meier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marijan Ćavar,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Evina,1.0,1.0,1.0,0.0,0.0,1.0,1.0,50.0,0.0,2.5,0.0,2.5,0.0,1.0,0.0,0.0
Lars Lukas Mai,2.0,2.0,2.0,0.0,0.0,1.5,2.0,83.35,0.5,1.5,1.0,0.5,1.5,3.5,1.5,0.0
Florian Mayer,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Stephan Ambrosius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0
Mohamed Gouaida,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Ville Matti Steinmann,2.0,1.25,0.75,1.0,0.25,1.0,2.125,33.3375,1.125,0.75,0.125,0.625,2.25,4.25,1.125,0.125
Kilian Jakob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Shawn Parker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandela Egbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Robert Žulj,0.6,0.6,0.2,0.4,0.0,0.2,0.2,20.0,0.0,0.6,0.0,0.6,0.0,0.6,0.4,0.0
Nigel de Jong,1.5454545454545454,1.0909090909090908,0.6363636363636364,0.8181818181818182,0.0909090909090909,0.9090909090909092,1.2727272727272727,48.49090909090909,0.3636363636363636,0.4545454545454545,0.0909090909090909,0.3636363636363636,1.0909090909090908,2.636363636363636,2.0,0.0909090909090909
Marcel Benger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filip Kusić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ole Käuper,6.0,5.0,2.0,4.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0
Birk Risa,0.5,0.5,0.0,0.5,0.0,0.0,1.5,0.0,1.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0
Tom Starke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann Aurel Bisseck,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,33.333333333333336,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.6666666666666667,2.6666666666666665,0.0
Anas Ouahim,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Emil Berggreen,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0714285714285714,0.2857142857142857,3.571428571428572,0.2142857142857142,0.5,0.0714285714285714,0.4285714285714285,0.0714285714285714,0.2142857142857142,0.7142857142857143,0.0
Roman Weidenfeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Karim Guédé,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.5,0.5,0.0,0.5,1.5,0.0,0.0
Caleb Stanko,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.3333333333333333,8.333333333333334,0.1666666666666666,0.5,0.0,0.5,0.1666666666666666,0.5,1.3333333333333333,0.0
Anto Grgić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paweł Olkowski,3.4,2.4,1.8,1.6,0.0,1.0,1.8,26.0,0.8,2.2,0.4,1.8,0.6,4.0,3.4,0.0
Tim Handwerker,1.0909090909090908,0.6363636363636364,0.8181818181818182,0.1818181818181818,0.0909090909090909,0.4545454545454545,0.6363636363636364,45.45454545454545,0.1818181818181818,0.2727272727272727,0.0,0.2727272727272727,0.5454545454545454,1.6363636363636365,0.9090909090909092,0.0
Zlatko Junuzović,1.4583333333333333,0.9583333333333334,0.7083333333333334,0.5,0.25,0.75,1.5833333333333333,30.558333333333334,0.8333333333333334,0.9583333333333334,0.0833333333333333,0.875,0.75,2.208333333333333,0.5,0.0
Ulisses Garcia,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Jann-Fiete Arp,0.3888888888888889,0.2777777777777778,0.0,0.1666666666666666,0.2222222222222222,0.0555555555555555,0.3888888888888889,5.555555555555555,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0.5,0.3888888888888889,0.0
Ebenezer Ofori,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Slobodan Medojević,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tatsuya Ito,0.8,0.65,0.2,0.4,0.2,0.55,1.1,17.25,0.55,1.4,0.0,1.4,0.3,1.1,0.05,0.0
Gojko Kačar,1.1666666666666667,1.0,1.0,0.1666666666666666,0.0,0.5,1.1666666666666667,25.0,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.6666666666666666,1.8333333333333333,1.1666666666666667,0.0
Vasilije Janjicic,2.0,1.5714285714285714,0.7142857142857143,1.2857142857142858,0.0,0.2857142857142857,0.5714285714285714,21.428571428571427,0.2857142857142857,0.8571428571428571,0.1428571428571428,0.7142857142857143,0.4285714285714285,2.4285714285714284,0.7142857142857143,0.0
Dominic Maroh,2.0,1.3636363636363635,1.6363636363636365,0.3636363636363636,0.0,1.3636363636363635,1.6363636363636365,70.45454545454545,0.2727272727272727,1.5454545454545454,0.8181818181818182,0.7272727272727273,1.9090909090909087,3.909090909090909,6.181818181818182,0.0909090909090909
Marvin Compper,1.0,1.0,0.0,1.0,0.0,1.0,1.5,33.35,0.5,1.0,1.0,0.0,0.0,1.0,4.0,0.0
Dženis Burnić,1.5,1.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6666666666666667,44.45,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2.1666666666666665,0.5,0.0
Bartosz Kapustka,1.2857142857142858,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.8571428571428571,35.714285714285715,0.2857142857142857,0.5714285714285714,0.0,0.5714285714285714,0.4285714285714285,1.7142857142857142,0.0,0.0
Ryan Kent,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.8333333333333334,25.0,0.5,1.0,0.0,1.0,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.0
Izet Hajrović,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0
Douglas Santos,3.333333333333333,2.2222222222222223,1.962962962962963,1.2592592592592593,0.1111111111111111,1.851851851851852,3.2222222222222223,53.53703703703704,1.3703703703703705,2.333333333333333,0.074074074074074,2.259259259259259,2.074074074074074,5.407407407407407,3.555555555555556,0.037037037037037
Sejad Salihović,0.7,0.5,0.3,0.3,0.1,0.0,0.3,0.0,0.3,0.5,0.0,0.5,0.5,1.2,0.1,0.0
Bakery Jatta,1.4,1.2,0.2,1.2,0.0,0.4,0.6,17.5,0.2,0.6,0.1,0.5,0.3,1.7,0.5,0.0
Valentin Stocker,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Philipp Ochs,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,16.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,0.0
Vincent Sierro,2.0,1.5,0.5,1.5,0.0,1.0,2.25,25.0,1.25,0.5,0.25,0.25,1.0,3.0,0.0,0.0
Julio Villalba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Opare,1.8235294117647056,1.588235294117647,1.1764705882352942,0.5882352941176471,0.0588235294117647,1.2352941176470589,1.588235294117647,69.11764705882354,0.3529411764705882,0.8235294117647058,0.2941176470588235,0.5294117647058824,1.6470588235294117,3.4705882352941178,3.294117647058824,0.0
Gōtoku Sakai,1.7857142857142858,1.4285714285714286,0.8928571428571429,0.6428571428571429,0.25,0.7857142857142857,1.6785714285714286,39.63928571428572,0.8928571428571429,1.4285714285714286,0.4285714285714285,1.0,1.5714285714285714,3.357142857142857,1.9642857142857144,0.0
Sebastian Maier,1.1,0.6,0.4,0.7,0.0,0.2,1.2,13.330000000000002,1.0,0.6,0.1,0.5,0.4,1.5,0.1,0.1
Onur Bulut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Kath,0.625,0.4166666666666667,0.125,0.375,0.125,0.375,0.7083333333333334,20.554166666666667,0.3333333333333333,0.375,0.0,0.375,0.3333333333333333,0.9583333333333334,0.0416666666666666,0.0
Dominik Kaiser,0.5,0.5,0.1,0.3,0.1,0.4,1.1,21.660000000000004,0.7,0.6,0.0,0.6,0.1,0.6,0.8,0.0
André Ramalho,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,66.66666666666667,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0
Stefan Kießling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.125,0.0
Marcel Heller,1.5416666666666667,1.0,0.875,0.5833333333333334,0.0833333333333333,0.5,1.1666666666666667,20.275,0.6666666666666666,0.9166666666666666,0.0416666666666666,0.875,0.4166666666666667,1.9583333333333333,0.2916666666666667,0.0
Mërgim Mavraj,2.647058823529412,1.8823529411764703,1.8823529411764703,0.6470588235294118,0.1176470588235294,1.2941176470588236,2.176470588235294,54.02352941176471,0.8823529411764706,1.6470588235294117,0.7058823529411765,0.9411764705882352,1.2352941176470589,3.882352941176471,5.352941176470588,0.1764705882352941
Lewis Holtby,2.75,1.8125,0.875,1.625,0.25,1.0625,2.0,39.5875,0.9375,1.4375,0.125,1.3125,0.625,3.375,0.5625,0.0
Konstantin Rausch,1.75,1.3333333333333333,1.0833333333333333,0.5833333333333334,0.0833333333333333,0.9166666666666666,2.1666666666666665,38.891666666666666,1.25,0.75,0.1666666666666666,0.5833333333333334,1.4166666666666667,3.1666666666666665,2.083333333333333,0.0
Matthias Lehmann,1.65,1.15,0.7,0.9,0.05,0.85,1.45,36.665,0.6,0.75,0.35,0.4,1.3,2.95,1.2,0.05
Miloš Jojić,1.44,1.04,0.72,0.6,0.12,0.64,1.6,26.208,0.96,1.24,0.16,1.08,0.6,2.04,0.64,0.0
Raúl Bobadilla,0.5384615384615384,0.4615384615384615,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.3076923076923077,0.6153846153846154,16.66923076923077,0.3076923076923077,0.4615384615384615,0.0,0.4615384615384615,0.0,0.5384615384615384,0.0769230769230769,0.0
Julian Schuster,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.3888888888888889,0.0555555555555555,0.3333333333333333,0.6111111111111112,27.77777777777778,0.2777777777777778,0.9444444444444444,0.5555555555555556,0.3888888888888889,1.0555555555555556,1.8333333333333333,3.111111111111111,0.0
Dennis Diekmeier,2.136363636363636,1.9545454545454544,1.4090909090909092,0.4545454545454545,0.2727272727272727,1.1363636363636365,1.6363636363636365,58.790909090909096,0.5,1.0,0.5,0.5,0.7272727272727273,2.863636363636364,2.272727272727273,0.0
