Player,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog
Alexander Meier,4.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Marijan Ćavar,11.0,0.0,3.0,6.0,3.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,10.0,2.0
Franck Evina,26.5,0.0,4.0,7.5,15.5,3.5,26.5,0.5,4.0,8.35,1.0,1.0,20.5,5.0
Lars Lukas Mai,62.5,5.5,39.0,23.5,0.0,0.0,62.5,0.5,0.5,50.0,0.5,0.0,45.0,0.0
Florian Mayer,10.0,1.0,3.0,6.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Stephan Ambrosius,41.0,6.0,23.0,18.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
Mohamed Gouaida,37.0,5.0,7.0,21.0,9.0,1.0,37.0,0.0,2.0,0.0,1.0,0.0,21.0,0.0
Ville Matti Steinmann,61.0,2.25,15.125,40.625,5.75,0.75,61.0,1.0,1.375,52.0875,0.5,1.25,37.5,0.375
Kilian Jakob,16.0,0.0,3.0,4.0,9.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0
Shawn Parker,7.0,0.0,0.0,3.5,3.5,0.5,7.0,0.0,0.5,0.0,1.5,1.0,7.0,1.0
Mandela Egbo,5.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Robert Žulj,23.8,0.6,2.2,12.8,8.8,2.6,23.8,0.0,0.2,0.0,0.6,0.6,18.6,2.4
Nigel de Jong,38.0,3.090909090909091,11.454545454545457,24.818181818181817,1.7272727272727273,0.0,38.0,0.0909090909090909,0.0909090909090909,9.090909090909092,0.2727272727272727,0.6363636363636364,21.272727272727277,0.2727272727272727
Marcel Benger,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Filip Kusić,3.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Ole Käuper,44.0,0.0,11.0,27.0,6.0,0.0,44.0,0.0,0.0,0.0,1.0,1.0,24.0,1.0
Birk Risa,16.0,0.5,1.5,7.0,7.5,2.5,16.0,0.5,1.5,16.65,2.0,0.0,8.5,1.5
Tom Starke,30.0,27.0,29.5,0.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Yann Aurel Bisseck,32.666666666666664,3.0,8.666666666666666,24.666666666666668,0.3333333333333333,0.0,32.666666666666664,0.0,0.0,0.0,0.3333333333333333,0.0,22.33333333333333,0.3333333333333333
Anas Ouahim,11.0,1.0,2.0,5.0,4.0,1.0,11.0,1.0,2.0,50.0,0.0,2.0,11.0,3.0
Emil Berggreen,17.071428571428573,0.7142857142857143,1.0,8.214285714285714,7.857142857142857,2.2142857142857144,17.071428571428573,0.0714285714285714,0.4285714285714285,3.571428571428572,1.6428571428571428,0.8571428571428571,14.357142857142858,3.142857142857143
Roman Weidenfeller,21.5,14.0,21.5,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0
Karim Guédé,8.0,1.5,2.0,3.0,3.0,0.0,8.0,0.0,0.5,0.0,0.0,0.5,6.5,2.0
Caleb Stanko,24.83333333333333,1.6666666666666667,15.0,9.5,0.5,0.0,24.83333333333333,0.3333333333333333,0.3333333333333333,16.666666666666668,0.8333333333333334,0.5,14.666666666666666,0.0
Anto Grgić,10.0,0.0,0.0,10.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
Paweł Olkowski,39.8,3.8,12.8,18.6,8.8,1.0,39.8,1.0,1.8,42.0,0.4,0.4,14.4,1.2
Tim Handwerker,18.818181818181817,0.8181818181818182,4.909090909090909,6.727272727272728,7.636363636363637,0.9090909090909092,18.818181818181817,0.6363636363636364,1.181818181818182,25.454545454545453,0.7272727272727273,0.1818181818181818,11.0,1.0
Zlatko Junuzović,39.458333333333336,0.2916666666666667,3.9583333333333335,17.916666666666668,18.20833333333333,2.0,39.458333333333336,0.4166666666666667,0.875,25.695833333333336,0.8333333333333334,0.5416666666666666,26.25,4.125
Ulisses Garcia,36.0,0.0,11.0,23.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0
Jann-Fiete Arp,13.88888888888889,0.4444444444444444,0.5555555555555556,6.333333333333333,7.166666666666667,2.055555555555556,13.88888888888889,0.5555555555555556,1.2222222222222223,25.094444444444445,1.7222222222222223,0.8888888888888888,10.944444444444445,3.0
Ebenezer Ofori,9.0,0.0,1.0,6.0,2.0,0.0,9.0,1.0,1.0,100.0,0.0,0.0,5.0,1.0
Slobodan Medojević,15.0,0.0,4.0,9.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Tatsuya Ito,26.7,0.05,2.3,12.5,12.25,2.7,26.7,1.15,2.85,27.945,1.0,1.05,21.3,3.75
Gojko Kačar,17.0,1.8333333333333333,9.333333333333334,7.0,0.8333333333333334,0.5,17.0,0.1666666666666666,0.1666666666666666,16.666666666666668,0.3333333333333333,0.3333333333333333,7.666666666666667,0.3333333333333333
Vasilije Janjicic,26.428571428571427,1.5714285714285714,6.285714285714286,17.571428571428573,2.857142857142857,0.1428571428571428,26.428571428571427,0.1428571428571428,0.1428571428571428,14.285714285714286,0.4285714285714285,0.1428571428571428,13.285714285714286,0.2857142857142857
Dominic Maroh,55.90909090909091,7.636363636363637,35.09090909090909,20.272727272727277,0.9090909090909092,0.5454545454545454,55.90909090909091,0.0,0.0909090909090909,0.0,0.0,0.1818181818181818,31.0,0.0
