Tournament,Player,Number,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Serie A,Emmanuel Torres,57.0,ar ARG,FW,26,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Gabriele Marchegiani,92.0,it ITA,GK,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Oliva Rutjens,2.0,es ESP,CB,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,0.0,0.0
Serie A,Eugenio Lamanna,23.0,it ITA,GK,28,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,69.6,0.0,0.0,0.0
Serie A,Ognjen Stijepović,40.0,me MNE,"RW,RM",18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Serie A,Luca Sparandeo,2.0,it ITA,WB,18,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,87.5,1.0,0.0,0.0
Serie A,Cheick Keita,33.0,ml MLI,WB,22,42.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,9.666666666666666,11.0,90.0,0.0,0.0,0.0
Serie A,Giovanni Volpicelli,73.0,it ITA,RM,18,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Serie A,Mattia Vitale,24.0,it ITA,FW,20,48.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,20.0,1.0,1.5,0.5,0.15,0.15,0.0,0.0,0.0,10.0,14.0,85.2,0.0,0.0,1.5
Serie A,Simone Pontisso,21.0,it ITA,CM,21,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,14.0,92.9,4.0,1.0,1.0
Serie A,Antonio Santurro,29.0,do DOM,GK,26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.0,51.1,0.0,0.0,0.0
Serie A,Deian Boldor,27.0,ro ROU,CB,23,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,3.0,5.0,0.0,0.0,0.1,1.0,0.0,29.0,36.0,80.6,4.0,0.0,0.0
