Player,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Emmanuel Torres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriele Marchegiani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliva Rutjens,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Eugenio Lamanna,23.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0
Ognjen Stijepović,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luca Sparandeo,16.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Cheick Keita,11.0,8.666666666666666,2.333333333333333,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,9.666666666666666,0.0,0.3333333333333333
Giovanni Volpicelli,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mattia Vitale,14.0,14.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5
Simone Pontisso,14.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
Antonio Santurro,47.0,26.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0
Deian Boldor,36.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
Cheick Diabaté,10.545454545454543,9.454545454545457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.727272727272727,0.0909090909090909,0.0
Han Kwang-song,7.857142857142857,7.857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,5.857142857142857,0.0,0.2857142857142857
Bacary Sagna,60.23076923076923,52.92307692307692,7.230769230769231,1.3846153846153846,0.0,0.2307692307692307,2.0,5.769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0,53.07692307692308,0.0769230769230769,0.6153846153846154
Lisandro López,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
Felipe Avenatti,12.909090909090908,12.636363636363637,0.1818181818181818,0.0,0.0,0.1818181818181818,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,7.272727272727272,0.0909090909090909,0.4545454545454545
Leandro Castán,38.35714285714285,35.5,2.7857142857142856,2.4285714285714284,0.0,0.3571428571428571,0.1428571428571428,0.3571428571428571,0.0,0.0,0.0,0.0,29.785714285714285,0.0714285714285714,0.6428571428571429
Jagoš Vuković,34.333333333333336,32.666666666666664,1.6,1.6,0.0,0.9333333333333332,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,28.0,0.0666666666666666,0.4
Boukary Dramé,11.4,9.4,2.0,0.2,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,9.0,0.0,0.2
Gian Filippo Felicioli,13.833333333333334,11.5,2.333333333333333,0.1666666666666666,0.0,0.0,1.3333333333333333,1.5,0.5,0.0,0.3333333333333333,0.0,10.166666666666666,0.0,1.0
Giuseppe Rossi,12.11111111111111,11.555555555555555,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,9.77777777777778,0.1111111111111111,0.2222222222222222
Simone Calvano,16.333333333333332,15.933333333333334,0.4,0.3333333333333333,0.0,0.4,0.4666666666666667,0.0666666666666666,0.0,0.0,0.0,0.0,12.4,0.0,0.1333333333333333
Franco Zuculini,15.454545454545457,15.090909090909092,0.3636363636363636,0.1818181818181818,0.0,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,12.636363636363637,0.0,0.0909090909090909
Benedikt Höwedes,72.0,69.33333333333333,2.6666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,67.0,0.0,0.0
Gianluca Gaudino,6.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,4.5,0.0,0.0
Nicolás Burdisso,46.125,43.333333333333336,2.6666666666666665,2.5416666666666665,0.0416666666666666,1.0416666666666667,0.0416666666666666,0.125,0.0,0.0,0.0,0.0,39.29166666666666,0.125,0.2083333333333333
Nicholas Pierini,6.0,5.666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0
Cesar Falletti,13.615384615384617,12.538461538461538,0.8461538461538461,0.1538461538461538,0.0,0.3076923076923077,0.8461538461538461,0.3846153846153846,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.0,10.461538461538462,0.2307692307692307,0.6153846153846154
Aristóteles Romero,8.166666666666666,8.166666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,0.0,0.3333333333333333
Luca Crosta,23.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0
Simone Lo Faso,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
Mamadou Kanouté,9.5,8.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,8.5,0.0,0.0
Alberto Brignoli,38.69230769230769,25.53846153846154,12.923076923076923,4.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,23.846153846153847,0.2307692307692307,0.0
Bright Gyamfi,20.11111111111111,17.0,3.0,0.2222222222222222,0.0,0.0,1.2222222222222223,2.7777777777777777,0.0,0.0,0.0,0.0,15.77777777777778,0.1111111111111111,0.6666666666666666
Gregory van der Wiel,32.8,28.0,4.4,0.2,0.0,0.8,1.4,4.2,0.0,0.0,0.0,0.0,25.8,0.4,0.4
Silvan Widmer,40.083333333333336,33.0,6.833333333333333,0.375,0.0,0.125,3.0,6.416666666666667,0.0416666666666666,0.0416666666666666,0.0,0.0,28.375,0.25,0.9583333333333334
Maurício,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Stefan Simić,23.444444444444443,21.666666666666668,1.6666666666666667,0.8888888888888888,0.0,0.4444444444444444,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,18.33333333333333,0.1111111111111111,0.2222222222222222
Francesco Migliore,27.0,22.83333333333333,4.166666666666667,0.0,0.0,0.3333333333333333,1.5,4.166666666666667,0.0,0.0,0.0,0.0,19.5,0.0,1.3333333333333333
Davide Di Gennaro,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
Lee Seung-woo,11.714285714285714,11.142857142857142,0.5714285714285714,0.1428571428571428,0.0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.0,0.0,9.0,0.0,0.2857142857142857
Senna Miangue,36.81818181818182,26.63636363636364,10.090909090909092,0.3636363636363636,0.0,0.0909090909090909,4.0,9.727272727272728,0.0,0.0,0.0,0.0,24.63636363636364,0.0909090909090909,1.5454545454545454
Albano Bizzarri,34.15625,21.5625,12.53125,3.15625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,22.375,0.0625,0.0
Davide Biondini,16.0,15.285714285714286,0.7142857142857143,0.2857142857142857,0.0,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.0,0.0,0.0,0.0,13.285714285714286,0.0,0.2857142857142857
Niccolò Giannetti,7.875,7.625,0.25,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,5.375,0.0,0.125
Luca Vido,8.25,7.75,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,7.25,0.25,0.0
Enrico Bearzotti,29.5,24.33333333333333,5.0,0.3333333333333333,0.0,0.3333333333333333,2.333333333333333,4.666666666666667,0.0,0.0,0.0,0.0,22.0,0.1666666666666666,1.0
Antonio Caracciolo,29.727272727272727,28.60606060606061,1.0,0.8484848484848485,0.0303030303030303,0.4242424242424242,0.1515151515151515,0.1515151515151515,0.0,0.0,0.0,0.0,23.78787878787879,0.1212121212121212,0.2121212121212121
Petar Brlek,23.2,22.2,0.8,0.6,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,18.8,0.2,0.6
Isaac Cofie,26.08333333333333,25.416666666666668,0.5833333333333334,0.5,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,20.83333333333333,0.0833333333333333,0.25
Samuel Bastien,22.904761904761905,22.476190476190474,0.3809523809523809,0.0952380952380952,0.0476190476190476,0.2857142857142857,0.5714285714285714,0.238095238095238,0.0,0.0,0.0,0.0,18.761904761904763,0.0476190476190476,0.5238095238095238
Cristiano Lombardi,21.41176470588235,18.823529411764707,2.5294117647058822,0.2352941176470588,0.0,0.2352941176470588,2.176470588235294,2.294117647058824,0.0,0.0,0.0,0.0,15.176470588235292,0.0588235294117647,1.7647058823529411
Samuel Armenteros,9.444444444444445,7.777777777777778,1.6666666666666667,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Riad Bajić,3.8,3.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.2
Ivan Strinić,49.94117647058823,42.35294117647059,7.470588235294118,1.0,0.0,0.0588235294117647,3.235294117647059,6.352941176470588,0.1176470588235294,0.1176470588235294,0.0,0.0,38.8235294117647,0.1176470588235294,1.6470588235294117
Samuel Gustafson,8.75,8.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5
Marco Fossati,41.64705882352941,38.1764705882353,3.176470588235294,1.8235294117647056,0.1176470588235294,1.0,0.8823529411764706,0.3529411764705882,0.4705882352941176,0.2941176470588235,0.1176470588235294,0.0,34.11764705882353,0.2941176470588235,0.6470588235294118
Aleksandar Tonev,14.875,14.125,0.75,0.0,0.0,0.25,1.75,0.0,0.125,0.125,0.0,0.0,8.625,0.0,1.375
Bruno Petković,15.36,14.4,0.84,0.0,0.08,0.16,0.36,0.12,0.0,0.0,0.0,0.0,10.44,0.12,0.68
Luca Antei,45.625,42.625,3.0,2.5,0.0,0.375,0.125,0.5,0.0,0.0,0.0,0.0,39.5,0.0,0.125
Ledian Memushaj,40.11764705882353,36.76470588235294,2.9411764705882355,1.5294117647058822,0.1176470588235294,0.2941176470588235,1.7058823529411764,0.5294117647058824,0.8823529411764706,0.1764705882352941,0.5882352941176471,0.0,31.88235294117647,0.4117647058823529,0.7647058823529411
Achraf Lazaar,18.77777777777778,16.444444444444443,2.333333333333333,0.1111111111111111,0.0,0.2222222222222222,2.2222222222222223,2.0,0.2222222222222222,0.0,0.2222222222222222,0.0,13.11111111111111,0.0,0.5555555555555556
Pietro Iemmello,12.9375,11.5625,1.3125,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,10.0,0.0625,0.25
Timo Letschert,31.428571428571427,26.857142857142858,4.571428571428571,0.8571428571428571,0.0,0.2857142857142857,0.0,3.7142857142857135,0.0,0.0,0.0,0.0,25.571428571428573,0.0,0.1428571428571428
Aleandro Rosi,33.958333333333336,26.5,7.25,0.2083333333333333,0.0416666666666666,0.0416666666666666,2.2916666666666665,7.041666666666667,0.0,0.0,0.0,0.0,23.5,0.2083333333333333,1.0833333333333333
