Player,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog
Emmanuel Torres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriele Marchegiani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliva Rutjens,4.0,6.0,66.7,65.0,18.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Eugenio Lamanna,16.0,23.0,69.6,671.0,586.0,1.0,1.0,100.0,5.0,5.0,100.0,10.0,16.0,62.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ognjen Stijepović,1.0,1.0,100.0,14.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Sparandeo,14.0,16.0,87.5,225.0,57.0,10.0,11.0,90.9,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Cheick Keita,9.666666666666666,11.0,90.0,117.66666666666669,28.666666666666668,7.666666666666667,8.333333333333334,93.6,2.0,2.333333333333333,93.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Volpicelli,1.0,1.0,100.0,9.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Vitale,10.0,14.0,85.2,147.0,19.5,4.5,6.0,86.35,5.0,5.5,45.45,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Pontisso,13.0,14.0,92.9,243.0,86.0,3.0,3.0,100.0,10.0,10.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Antonio Santurro,24.0,47.0,51.1,1076.0,1014.0,1.0,1.0,100.0,5.0,5.0,100.0,18.0,40.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deian Boldor,29.0,36.0,80.6,625.0,265.0,10.0,11.0,90.9,14.0,14.0,100.0,5.0,11.0,45.5,0.0,0.1,0.0,1.0,3.0,0.0,0.0,4.0
Cheick Diabaté,7.727272727272727,10.545454545454543,70.95454545454545,110.45454545454544,12.090909090909092,4.727272727272728,5.818181818181818,80.52727272727272,2.363636363636364,3.727272727272727,55.76363636363637,0.3636363636363636,0.4545454545454545,36.36363636363637,0.0,0.009090909090909,0.0,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.0,0.3636363636363636
Han Kwang-song,5.857142857142857,7.857142857142857,78.64285714285714,95.71428571428572,18.285714285714285,3.2857142857142856,4.285714285714286,84.54285714285713,2.0,2.571428571428572,50.0,0.5714285714285714,0.8571428571428571,30.957142857142856,0.0,0.0142857142857142,0.0142857142857142,0.1428571428571428,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.4285714285714285
Bacary Sagna,53.07692307692308,60.23076923076923,86.66923076923078,809.2307692307693,270.3076923076923,29.07692307692308,31.0,92.53846153846152,19.0,21.384615384615383,87.6,3.230769230769231,4.923076923076923,65.76923076923077,0.0,0.1153846153846153,0.0461538461538461,0.9230769230769232,2.3076923076923075,0.3846153846153846,0.3076923076923077,2.3846153846153846
Lisandro López,26.0,28.0,92.9,421.0,118.0,12.0,12.0,100.0,12.0,13.0,92.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Felipe Avenatti,7.272727272727272,12.909090909090908,55.84545454545455,105.8181818181818,18.63636363636364,3.909090909090909,6.2727272727272725,61.44545454545455,2.636363636363636,4.181818181818182,59.12727272727273,0.2727272727272727,0.7272727272727273,15.154545454545454,0.0,0.009090909090909,0.0181818181818181,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.0,0.5454545454545454
Leandro Castán,29.785714285714285,38.35714285714285,79.1,592.0714285714286,215.7142857142857,9.5,10.428571428571429,91.19285714285716,16.142857142857142,18.642857142857142,87.74285714285713,3.7142857142857135,8.142857142857142,46.96428571428572,0.0714285714285714,0.0142857142857142,0.0357142857142857,0.0714285714285714,2.4285714285714284,0.2142857142857142,0.0,2.142857142857143
Jagoš Vuković,28.0,34.333333333333336,80.27333333333334,613.2,222.6,7.533333333333333,8.6,85.65333333333335,15.4,17.2,89.72000000000001,4.8,7.733333333333333,61.33333333333333,0.0666666666666666,0.0266666666666666,0.04,0.2,1.4,0.0666666666666666,0.0,1.7333333333333334
Boukary Dramé,9.0,11.4,87.12,141.6,46.4,4.0,4.2,98.66,4.0,4.8,87.5,0.4,1.6,6.659999999999999,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4
Gian Filippo Felicioli,10.166666666666666,13.833333333333334,69.81666666666666,140.33333333333334,34.333333333333336,6.5,7.333333333333333,70.11666666666666,2.833333333333333,3.8333333333333335,66.76666666666667,0.5,1.0,19.45,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Giuseppe Rossi,9.77777777777778,12.11111111111111,79.80000000000001,157.55555555555554,20.55555555555556,5.0,5.666666666666667,89.76666666666668,3.0,3.7777777777777777,73.88888888888889,1.1111111111111112,1.3333333333333333,46.3,0.0,0.0333333333333333,0.0333333333333333,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.0,0.8888888888888888
Simone Calvano,12.4,16.333333333333332,74.39333333333335,206.53333333333333,62.13333333333333,6.6,7.8,89.50666666666666,4.4,5.8,68.93333333333334,1.0666666666666669,2.066666666666667,41.88666666666666,0.0,0.0333333333333333,0.0,0.1333333333333333,1.3333333333333333,0.0666666666666666,0.0666666666666666,1.1333333333333333
Franco Zuculini,12.636363636363637,15.454545454545457,83.04545454545453,197.0909090909091,60.09090909090909,6.545454545454546,7.545454545454546,81.85454545454546,4.545454545454546,5.909090909090909,53.42727272727273,1.0,1.181818181818182,45.45454545454545,0.0,0.0272727272727272,0.0,0.4545454545454545,1.2727272727272727,0.0909090909090909,0.0909090909090909,1.0
Benedikt Höwedes,67.0,72.0,92.56666666666666,1205.6666666666667,402.3333333333333,24.666666666666668,25.33333333333333,96.96666666666664,38.333333333333336,39.333333333333336,97.0,3.6666666666666665,6.666666666666667,50.56666666666666,0.0,0.0333333333333333,0.0333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.6666666666666666,3.6666666666666665
Gianluca Gaudino,4.5,6.0,86.35,105.5,39.5,1.0,1.5,33.35,2.0,2.5,40.0,1.5,2.0,83.35,0.0,0.05,0.05,0.5,0.5,0.0,0.0,0.5
