Tournament,Match ID,Player ID,Player,Number,Nation,Pos,Age,Min,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Serie A,185d9e37,5bd72174,Francesco Caputo,10.0,it ITA,FW,35-007,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,60e3603d,Manuel De Luca,9.0,it ITA,FW,24-027,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,eccbe56a,Filip Đuričić,7.0,rs SRB,LM,30-195,57.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,33ecf462,Valerio Verre,5.0,it ITA,LM,28-214,33.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Serie A,185d9e37,f1cfc209,Tomás Rincón,8.0,ve VEN,CM,34-212,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Serie A,185d9e37,4830e0af,Abdelhamid Sabiri,11.0,ma MAR,CM,25-258,90.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0
Serie A,185d9e37,7d3cbc67,Mehdi Léris,37.0,dz ALG,RM,24-082,74.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,ee4f2f3b,Fabio Quagliarella,27.0,it ITA,RM,39-194,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,75e60d75,Ronaldo Vieira,14.0,gw GNB,DM,24-025,90.0,,3.0,,,,,,,,,,,4.0,,,
Serie A,185d9e37,3cd3b384,Tommaso Augello,3.0,it ITA,LB,27-348,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Serie A,185d9e37,8b95acda,Omar Colley,15.0,gm GAM,CB,29-293,90.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,d0dbca9f,Alex Ferrari,25.0,it ITA,CB,28-043,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0
Serie A,185d9e37,b233e8e4,Jeison Murillo,21.0,co COL,CB,30-078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,61b3978f,Bartosz Bereszyński,24.0,pl POL,RB,30-032,57.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Serie A,185d9e37,d97f2e8d,Fabio Depaoli,12.0,it ITA,RB,25-111,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,185d9e37,649b01d8,Emil Audero,1.0,it ITA,GK,25-207,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,d3de9af0,Duván Zapata,91.0,co COL,FW,31-134,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,185d9e37,eb2fe5b6,Luis Muriel,9.0,co COL,FW,31-119,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,7c104bb7,Ademola Lookman,11.0,ng NGA,FW,24-297,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,e599253a,Mario Pašalić,88.0,hr CRO,AM,27-185,82.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0
Serie A,185d9e37,48d5bd33,Ruslan Malinovskyi,18.0,ua UKR,AM,29-101,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,a26fb8aa,Teun Koopmeiners,7.0,nl NED,CM,24-166,90.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Serie A,185d9e37,2a1beb34,Marten de Roon,15.0,nl NED,CM,31-137,90.0,5.0,3.0,4.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
Serie A,185d9e37,c459a650,Joakim Mæhle,3.0,dk DEN,WB,25-085,71.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0
Serie A,185d9e37,82598b71,Nadir Zortea,21.0,it ITA,WB,23-055,19.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
Serie A,185d9e37,3b333ac3,Hans Hateboer,33.0,nl NED,WB,28-216,90.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,2.0,4.0,2.0,0.0
Serie A,185d9e37,6eee05f1,Berat Djimsiti,19.0,al ALB,CB,29-175,90.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Serie A,185d9e37,8ec109e6,Caleb Okoli,5.0,it ITA,CB,21-031,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,7.0,0.0
Serie A,185d9e37,c56dc39e,Rafael Tolói,2.0,it ITA,CB,31-307,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,1e9aa637,Giorgio Scalvini,42.0,it ITA,CB,18-245,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0
Serie A,185d9e37,a111cf41,Juan Musso,1.0,ar ARG,GK,28-099,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,536cebe5,Ante Rebić,12.0,hr CRO,FW,28-326,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Serie A,bb758ef8,16ceb862,Olivier Giroud,9.0,fr FRA,FW,35-317,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,20730eae,Rafael Leão,17.0,pt POR,LW,23-064,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
